flow,window_start,window_end,ml_prob,suspicion_score,ks_pvalue,ad_stat,js_divergence,iforest_risk,final_risk,decision,explanation
10.0.0.3_10.0.0.4_ICMP_noisy_j50,0,50,0.6666666666666667,73.86995039239014,5.3464174156963835e-09,31.966771011357693,0.3114995039239013,89.4418241133191,40.38268327371419,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,25,75,4.0,76.79695523683384,1.7693360735339373e-10,7.842747364527646,0.32676955236833843,73.29133288053843,39.69735314715784,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,50,100,0.6666666666666667,73.98711713870333,4.594698459155581e-11,5.473957592010358,0.29347117138703327,93.45822742589344,41.22111396012302,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,75,125,8.666666666666668,73.88378042151169,4.594698459155581e-11,27.278457271986824,0.2924378042151169,89.19850819914075,44.33816909961499,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,100,150,4.0,77.96000000000001,3.048240984521469e-09,33.1191475827883,0.3655902516346997,73.95626851591278,40.17925370318256,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,125,175,8.0,76.80443119944896,4.840390537426238e-10,17.07693943108829,0.3308443119944896,69.36335793610687,40.91400094705606,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,150,200,0.6666666666666667,78.88,3.246617683962172e-10,21.772159331013498,0.35097437056314623,65.94553804206623,37.186440941746575,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,175,225,0.6666666666666667,76.45007470405211,1.7693360735339373e-10,31.93706737419005,0.32330074704052114,82.72407735414286,39.81317121537754,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,200,250,1.3333333333333335,80.52158834274223,1.2154306803750125e-12,12.715215313729743,0.34561588342742233,77.49989376809836,40.323121923109014,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
10.0.0.3_10.0.0.4_ICMP_noisy_j50,225,275,4.0,70.96326055428796,1.7220746180623513e-09,3.6393828208402184,0.3456634645008687,94.04882488141342,42.09874314256908,Suspicious,Statistical tests indicate abnormal timing; Unsupervised model flags anomalous behavior
